#Table 1 of Pei (1992, ApJ, 395, 130)
ilam_MW   E_rat_MW  ilam_LMC  E_rat_LMC ilam_SMC  E_rat_SMC
 0.21       -3.02      0.45     -2.92      0.45     -2.61
 0.29       -2.91      0.61     -2.59      0.61     -2.47
 0.45       -2.76      0.80     -2.22      0.80     -2.12
 0.61       -2.58      1.82      0.00      1.82      0.00
 0.80       -2.23      2.27      1.00      2.27      1.00
 1.11       -1.60      2.70      1.70      2.70      1.67
 1.43       -0.78      2.90      2.06      3.22      2.29
 1.82        0.00      3.23      2.66      3.34      2.65
 2.27        1.00      3.33      2.78      3.46      3.00
 2.50        1.30      3.45      2.94      3.60      3.15
 2.91        1.80      3.57      3.21      3.75      3.49
 3.65        3.10      3.70      3.44      3.92      3.91
 4.00        4.19      3.85      3.82      4.09      4.24
 4.17        4.90      4.00      4.08      4.28      4.53
 4.35        5.77      4.17      4.53      4.50      5.30
 4.57        6.57      4.35      5.20      4.73      5.85
 4.76        6.23      4.44      5.65      5.00      6.38
 5.00        5.52      4.55      5.95      5.24      6.76
 5.26        4.90      4.65      6.05      5.38      6.90
 5.56        4.65      4.76      5.98      5.52      7.17
 5.88        4.60      5.00      5.95      5.70      7.71
 6.25        4.73      5.26      5.94      5.88      8.01
 6.71        4.99      5.56      6.19      6.07      8.49
 7.18        5.36      5.88      6.56      6.27      9.06
 7.60        5.91      6.25      7.07      6.48      9.28
 8.00        6.55      6.67      7.77      6.72      9.84
 8.50        7.45      7.14      8.55      6.98     10.80
 9.00        8.45      7.41      9.00      7.23     11.51
 9.50        9.80      7.69      9.63      7.52     12.52
10.00       11.30      8.00     10.33      7.84     13.54
