#Redshift	LSSTu	LSSTg	LSSTr	LSSTi	LSSTz	LSSTy	M_1450	M_i
        0.01000        13.89942        14.09999        13.94353        13.78075        14.15031        12.73676       -18.33126       -19.45515
        0.02000        15.31839        15.52068        15.36624        15.20298        15.57391        14.15877       -18.42099       -19.54488
        0.03000        16.11373        16.31776        16.16527        16.00160        16.37409        14.95713       -18.50946       -19.63335
        0.04000        16.65438        16.86015        16.70949        16.54558        16.91978        15.50072       -18.59670       -19.72059
        0.05000        17.05595        17.26346        17.11452        16.95058        17.32647        15.90514       -18.68272       -19.80661
        0.06000        17.36997        17.57915        17.43183        17.26811        17.64555        16.22189       -18.76756       -19.89145
        0.07000        17.62394        17.83468        17.68889        17.52567        17.90436        16.47845       -18.85123       -19.97512
        0.08000        17.83427        18.04640        17.90206        17.73960        18.11923        16.69122       -18.93375       -20.05764
        0.09000        18.01154        18.22488        18.08191        17.92040        18.30071        16.87079       -19.01515       -20.13904
        0.10000        18.16296        18.37730        18.23566        18.07523        18.45606        17.02437       -19.09545       -20.21934
        0.11000        18.29368        18.50879        18.36843        18.20920        18.59050        17.15710       -19.17467       -20.29856
        0.12000        18.40747        18.62314        18.48401        18.32605        18.70783        17.27279       -19.25282       -20.37671
        0.13000        18.50723        18.72322        18.58528        18.42867        18.81093        17.37431       -19.32993       -20.45382
        0.14000        18.59518        18.81126        18.67448        18.51935        18.90197        17.46390       -19.40601       -20.52990
        0.15000        18.67312        18.88902        18.75338        18.59985        18.98268        17.54332       -19.48108       -20.60497
        0.16000        18.74246        18.95792        18.82343        18.67162        19.05441        17.61399       -19.55517       -20.67905
        0.17000        18.80437        19.01912        18.88583        18.73579        19.11832        17.67704       -19.62827       -20.75216
        0.18000        18.85981        19.07359        18.94153        18.79328        19.17545        17.73340       -19.70043       -20.82431
        0.19000        18.90957        19.12213        18.99137        18.84486        19.22671        17.78384       -19.77164       -20.89552
        0.20000        18.95432        19.16540        19.03601        18.89118        19.27285        17.82904       -19.84192       -20.96581
        0.21000        18.99463        19.20401        19.07602        18.93278        19.31450        17.86956       -19.91130       -21.03519
        0.22000        19.03097        19.23844        19.11191        18.97014        19.35216        17.90591       -19.97978       -21.10367
        0.23000        19.06376        19.26914        19.14410        19.00368        19.38622        17.93851       -20.04738       -21.17127
        0.24000        19.09336        19.29648        19.17295        19.03377        19.41700        17.96778       -20.11411       -21.23800
        0.25000        19.12010        19.32080        19.19879        19.06074        19.44478        17.99402       -20.18000       -21.30388
        0.26000        19.14425        19.34238        19.22191        19.08487        19.46984        18.01754       -20.24504       -21.36893
        0.27000        19.16606        19.36148        19.24255        19.10642        19.49244        18.03860       -20.30926       -21.43315
        0.28000        19.18575        19.37834        19.26094        19.12564        19.51281        18.05741       -20.37267       -21.49655
        0.29000        19.20352        19.39314        19.27728        19.14273        19.53121        18.07415       -20.43528       -21.55916
