# File generated by CMD 3.4 (http://stev.oapd.inaf.it/cmd) on Thu Apr  8 17:44:48 CEST 2021
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# Photometric system: LSST ugrizY, March 2012 total filter throughputs (all ABmags)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: luminosity functions
# age     Z  magbinc 	 mbolmag  umag    gmag    rmag    imag    zmag    Ymag
1e+10 0.00049 -4.975         0        0        0        0        0        0        0
1e+10 0.00049 -4.925         0        0        0        0        0        0        0
1e+10 0.00049 -4.875         0        0        0        0        0        0        0
1e+10 0.00049 -4.825         0        0        0        0        0        0        0
1e+10 0.00049 -4.775         0        0        0        0        0        0        0
1e+10 0.00049 -4.725         0        0        0        0        0        0        0
1e+10 0.00049 -4.675         0        0        0        0        0        0        0
1e+10 0.00049 -4.625         0        0        0        0        0        0        0
1e+10 0.00049 -4.575         0        0        0        0        0        0        0
1e+10 0.00049 -4.525         0        0        0        0        0        0        0
1e+10 0.00049 -4.475         0        0        0        0        0        0        0
1e+10 0.00049 -4.425         0        0        0        0        0        0        0
1e+10 0.00049 -4.375         0        0        0        0        0        0 3.58e-07
1e+10 0.00049 -4.325         0        0        0        0        0        0 7.16e-08
1e+10 0.00049 -4.275         0        0        0        0        0        0 3.58e-08
1e+10 0.00049 -4.225         0        0        0        0        0 2.68e-07 3.58e-08
1e+10 0.00049 -4.175         0        0        0        0        0 1.61e-07 3.58e-08
1e+10 0.00049 -4.125         0        0        0        0        0 5.37e-08 3.58e-08
1e+10 0.00049 -4.075         0        0        0        0        0 3.58e-08 5.37e-08
1e+10 0.00049 -4.025         0        0        0        0        0 5.37e-08 3.58e-08
1e+10 0.00049 -3.975         0        0        0        0        0 3.58e-08 3.58e-08
1e+10 0.00049 -3.925  6.80e-07        0        0        0 4.29e-07 5.37e-08 1.17e-06
1e+10 0.00049 -3.875  3.58e-07        0        0        0 7.16e-08 3.58e-08 1.60e-06
1e+10 0.00049 -3.825  3.58e-07        0        0        0 5.37e-08 1.08e-07 1.60e-06
1e+10 0.00049 -3.775  3.58e-08        0        0        0 7.16e-08 1.71e-06 1.60e-06
1e+10 0.00049 -3.725         0        0        0        0 7.16e-08 1.67e-06 1.55e-06
1e+10 0.00049 -3.675         0        0        0        0 5.37e-08 1.66e-06 1.55e-06
1e+10 0.00049 -3.625         0        0        0        0 7.16e-08 1.67e-06 1.55e-06
